line,kind,source,destination,flags,conditions,infrastructure,query_condition,home_destination,drops_query,unicode_source
64,exact,/mosquee-de-paris/la-mecque-la-kaaba-et-les-origines-de-lislam,https://top-halal.fr/mosquee-de-paris/mecque-kaaba-origines-islam,,,False,False,False,False,False
65,exact,/mosquee-de-paris/la-symbolique-de-la-mosquee-de-paris,https://top-halal.fr/mosquee-de-paris/le-symbole,,,False,False,False,False,False
66,exact,/mosquee-de-paris/la-symbolique-du-sinai-ou-lepreuve-de-la-montagne,https://top-halal.fr/mosquee-de-paris/symbolique-sinai-ou-epreuve-montagne,,,False,False,False,False,False
67,exact,/mosquee-de-paris/les-raisons-de-la-victoire-a-la-bataille-de-badr,https://top-halal.fr/mosquee-de-paris/raisons-victoire-bataille-badr,,,False,False,False,False,False
68,exact,/mosquee-de-paris/lesclavage-et-lislam,https://top-halal.fr/mosquee-de-paris/esclavage-et-islam,,,False,False,False,False,False
69,exact,/mosquee-de-paris/lislam-et-lenvironnement,https://top-halal.fr/mosquee-de-paris/islam-et-environnement,,,False,False,False,False,False
70,exact,/mosquee-de-paris/notre-dieu-allah,https://top-halal.fr/mosquee-de-paris/dieu-allah,,,False,False,False,False,False
71,exact,/mosquee-de-paris/signification-de-lhomme-et-prehistoire,https://top-halal.fr/mosquee-de-paris/signification-homme-prehistoire,,,False,False,False,False,False
72,exact,/nouveaux-food-trucks-hong-kong-par-16-opérateurs,https://top-halal.fr/nouveaux-food-trucks-a-hong-kong-par-16-operateurs,,,False,False,False,False,True
73,exact,/position-chrétien-nourriture-halal,https://top-halal.fr/position-chretien-nourriture-halal,,,False,False,False,False,True
74,exact,/halal-à-savoir,https://top-halal.fr/en-bref,,,False,False,False,False,True
75,exact,/mosquee-de-paris/averroes–science-et-foi,https://top-halal.fr/mosquee-de-paris/averroes-science-et-foi,,,False,False,False,False,True
76,exact,/blog-archive.html,https://top-halal.fr/,,,False,False,True,False,False
77,exact,/Doit-on-accepter-violence-dans-abattoirs,https://top-halal.fr/violence-abattoirs,,,False,False,False,False,False
78,exact,/expansion-industrie-halal-coree,https://top-halal.fr/expansion-industrie-halal-coree-sud,,,False,False,False,False,False
79,exact,/halal-il-faut-savoir,https://top-halal.fr/en-bref,,,False,False,False,False,False
80,exact,/Halal-snack-pack-nourriture-qui-nous-reunit,https://top-halal.fr/halal-snack-pack-nourriture,,,False,False,False,False,False
81,exact,/industrie-halal-vraie-evolution-en-france,https://top-halal.fr/industrie-halal-vraie-evolution-france,,,False,False,False,False,False
82,exact,/langs/,https://top-halal.fr/,,,False,False,True,False,False
83,exact,/mosquee-de-paris/institut-al-ghazali,https://top-halal.fr/mosquee-de-paris/formation-imams-al-ghazali,,,False,False,False,False,False
84,exact,/mosquee-de-paris/le-hammam-de-la-mosquee,https://top-halal.fr/mosquee-de-paris/hammam,,,False,False,False,False,False
85,exact,/mosquee-de-paris/moise-dans-islam,https://top-halal.fr/mosquee-de-paris/moise-dans-lislam,,,False,False,False,False,False
86,exact,/muslim-gourmet/au-soleil-mister-kebab/amp,https://top-halal.fr/au-soleil-mister-kebab,,,False,False,False,False,False
87,exact,/muslim-gourmet/blog-archive.html,https://top-halal.fr/,,,False,False,True,False,False
88,exact,/muslim-gourmet/de-lafrique-aux-antilles-le-djembe/amp,https://top-halal.fr/de-lafrique-aux-antilles-le-djembe,,,False,False,False,False,False
89,exact,/muslim-gourmet/la-turquie-a-montpellier-mega-star-kebab/amp,https://top-halal.fr/la-turquie-a-montpellier-mega-star-kebab,,,False,False,False,False,False
90,exact,/nouveaux-food-trucks-hong-kong-par-16-oprrateurs,https://top-halal.fr/nouveaux-food-trucks-a-hong-kong-par-16-operateurs,,,False,False,False,False,False
91,exact,/Nouvelle-boucherie-halal-High-Wycombe,https://top-halal.fr/nouvelle-boucherie-halal-high-wycombe,,,False,False,False,False,False
92,exact,/nouvelle-boucherie-halal-High-Wycombe,https://top-halal.fr/nouvelle-boucherie-halal-high-wycombe,,,False,False,False,False,False
93,exact,/wp-co,https://top-halal.fr/,,,False,False,True,False,False
94,exact,/wp-contenu/uploads/2014/06/1453280_1395554670,https://top-halal.fr/,,,False,False,True,False,False
95,exact,/restaurants/hallal/fumoir,https://top-halal.fr/,,,False,False,True,False,False
96,exact,/restaurants/le-havre,https://top-halal.fr/restos/le-havre,,,False,False,False,False,False
97,exact,/restaurants/saint-brice-sous-foret,https://top-halal.fr/restos/saint-brice-sous-foret,,,False,False,False,False,False
98,exact,/restaurants/saint-germain-les-corbeil,https://top-halal.fr/restos/saint-germain-les-corbeil,,,False,False,False,False,False
99,exact,/restaurants/villeneuve-saint-georges,https://top-halal.fr/restos/villeneuve-saint-georges,,,False,False,False,False,False
100,exact,/restaurants/voulx,https://top-halal.fr/restos/voulx,,,False,False,False,False,False
101,exact,/restaurants/vouziers,https://top-halal.fr/restos/vouziers,,,False,False,False,False,False
102,exact,/restaurants/wasquehal,https://top-halal.fr/restos/wasquehal,,,False,False,False,False,False
103,exact,/restaurants/acheres,https://top-halal.fr/restos/acheres,,,False,False,False,False,False
104,exact,/restaurants/appthemes,https://top-halal.fr/,,,False,False,True,False,False
105,exact,/restaurants/asnieres-sur-seine,https://top-halal.fr/restos/asnieres-sur-seine,,,False,False,False,False,False
106,exact,/restaurants/aubonne,https://top-halal.fr/restos/aubonne,,,False,False,False,False,False
107,exact,/restaurants/bagneux,https://top-halal.fr/restos/bagneux,,,False,False,False,False,False
108,exact,/restaurants/beach--2,https://top-halal.fr/resto/beach-kebab,,,False,False,False,False,False
109,exact,/restaurants/burger-trip-restaurant-de-qualite,https://top-halal.fr/resto/burger-trip,,,False,False,False,False,False
110,exact,/restaurants/cesson-sevigne,https://top-halal.fr/restos/cesson-sevigne,,,False,False,False,False,False
111,exact,/restaurants/chez-tanty,https://top-halal.fr/,,,False,False,True,False,False
112,exact,/restaurants/cours-lieutaud,https://top-halal.fr/restos/cours-lieutaud,,,False,False,False,False,False
113,exact,/restaurants/epinay-sur-seine,https://top-halal.fr/restos/epinay-sur-seine,,,False,False,False,False,False
114,exact,/restaurants/sainte-genevieve-des-bois,https://top-halal.fr/restos/sainte-genevieve-des-bois,,,False,False,False,False,False
115,exact,/restaurant/test3,https://top-halal.fr/,,,False,False,True,False,False
116,exact,/restaurants/__trashed-16,https://top-halal.fr/,,,False,False,True,False,False
117,rewrite,^restaurants/-$,https://top-halal.fr/?,"L,R=301",,False,False,True,True,False
118,rewrite,^restaurants$,https://top-halal.fr/?,"L,R=301",,False,False,True,True,False
119,exact,/resto/-de-la-place-fontbarlettes,https://top-halal.fr/resto/kebab-de-la-place-fontbarlettes,,,False,False,False,False,False
120,exact,/resto/acheres,https://top-halal.fr/restos/acheres,,,False,False,False,False,False
121,exact,/resto/asnieres-sur-seine,https://top-halal.fr/restos/asnieres-sur-seine,,,False,False,False,False,False
122,exact,/resto/aubonne,https://top-halal.fr/restos/aubonne,,,False,False,False,False,False
123,exact,/resto/bagneux,https://top-halal.fr/restos/bagneux,,,False,False,False,False,False
124,exact,/resto/break-time-3,https://top-halal.fr/resto/break-time,,,False,False,False,False,False
125,exact,/resto/cours-lieutaud,https://top-halal.fr/restos/cours-lieutaud,,,False,False,False,False,False
126,exact,/resto/crepe-tower-2,https://top-halal.fr/resto/crepe-tower,,,False,False,False,False,False
127,exact,/resto/enk-2,https://top-halal.fr/resto/enk,,,False,False,False,False,False
128,exact,/resto/epinay-sur-seine,https://top-halal.fr/restos/epinay-sur-seine,,,False,False,False,False,False
129,exact,/resto/kidals-food-3,https://top-halal.fr/resto/kidals-food,,,False,False,False,False,False
130,exact,/resto/lathanor-pizza-bio-2,https://top-halal.fr/resto/lathanor-pizza-bio,,,False,False,False,False,False
131,exact,/resto/le-havre,https://top-halal.fr/restos/le-havre,,,False,False,False,False,False
132,exact,/resto/montigny-les-cormeilles,https://top-halal.fr/restos/montigny-les-cormeilles,,,False,False,False,False,False
133,exact,/resto/nouveau-restaurant-test,https://top-halal.fr/,,,False,False,True,False,False
